Name,Email Address,Lesson Summary,Quiz Summary,Assignment Summary,Grade Point Average,Gender,Age,Children,Completed_Nysc,Intermediate class Eligibility
51,,2023-04-23,49,72,22,Male,33,false,false,true
52,,2023-02-02,83,22,56,Male,26,true,false,false
53,,2023-03-09,49,32,80,Female,32,false,false,false
54,,2023-04-26,80,9,59,Female,39,false,true,true
55,,2023-03-09,81,38,70,Female,21,true,true,true
56,,2023-01-24,98,10,19,Male,27,false,true,false
57,,2023-04-14,49,16,64,Male,38,true,true,false
58,,2023-02-10,97,41,21,Male,33,false,false,true
59,,2023-02-08,65,3,40,Male,25,false,false,true
60,,2023-03-28,67,45,38,Male,38,true,false,true
61,,2023-03-23,81,51,77,Male,24,true,false,false
62,,2023-01-15,64,71,19,Male,34,true,false,false
63,,2023-01-09,75,75,29,Female,28,false,false,false
64,,2023-04-03,68,9,9,Male,34,false,false,false
65,,2023-01-28,66,79,78,Female,25,true,true,false
66,,2023-04-02,93,27,83,Female,18,true,false,false
67,,2023-03-14,79,61,36,Female,30,false,false,false
68,,2023-03-31,48,33,6,Female,20,true,true,false
69,,2023-03-13,99,21,92,Female,20,false,false,true
70,,2023-02-20,70,38,32,Male,30,false,true,false
71,,2023-02-04,83,64,37,Female,33,true,true,true
72,,2023-01-04,71,68,1,Female,37,true,true,false
73,,2023-04-26,63,7,89,Female,31,true,false,false
74,,2023-02-24,98,16,82,Female,37,false,true,true
75,,2023-04-10,70,17,21,Male,30,true,true,false
76,,2023-03-24,87,34,74,Male,27,true,true,true
77,,2023-01-18,98,19,60,Male,37,false,false,true
78,,2023-02-18,95,53,36,Male,25,false,false,false
79,,2023-04-25,80,5,41,Male,21,false,true,true
80,,2023-01-31,82,43,58,Male,31,false,true,true
81,,2023-01-19,74,25,48,Male,37,false,true,true
82,,2023-03-11,99,96,21,Female,20,false,true,false
83,,2023-02-01,72,72,44,Male,23,false,false,true
84,,2023-03-30,71,95,15,Male,24,false,true,true
85,,2023-03-26,83,37,13,Female,40,false,false,true
86,,2023-03-27,84,97,10,Male,36,true,false,false
87,,2023-03-21,85,2,67,Male,30,true,false,false
88,,2023-02-03,89,24,32,Male,23,false,true,false
89,,2023-03-17,91,1,44,Female,27,false,true,false
90,,2023-04-22,81,12,96,Female,32,true,true,false
91,,2023-04-02,64,70,85,Female,32,false,true,true
92,,2023-02-07,57,38,73,Female,19,false,false,true
93,,2023-01-24,64,7,48,Male,36,false,true,true
94,,2023-01-22,79,25,40,Male,21,true,true,true
95,,2023-04-10,79,54,98,Female,31,false,true,false
96,,2023-03-23,45,79,85,Male,30,true,false,false
97,,2023-04-29,49,50,99,Female,25,true,false,false
98,,2023-02-02,61,89,17,Female,25,false,false,false
99,,2023-01-24,71,94,94,Female,30,false,false,false
100,,2023-02-08,53,61,80,Female,30,true,true,false
101,,2023-03-18,81,93,5,Male,34,false,false,false
102,,2023-03-27,62,7,77,Female,21,false,false,false
103,,2023-02-16,91,27,6,Female,32,false,false,true
104,,2023-04-06,78,60,12,Male,30,true,false,false
105,,2023-01-12,76,81,60,Male,20,true,true,true
106,,2023-04-06,48,43,89,Female,39,false,true,true
107,,2023-03-13,54,1,81,Female,37,true,false,false
108,,2023-02-02,47,16,46,Female,24,false,true,false
109,,2023-01-24,100,79,0,Male,40,true,true,true
110,,2023-04-27,48,44,47,Female,21,false,true,false
111,,2023-03-20,82,83,85,Female,22,true,false,false
112,,2023-02-14,62,94,2,Male,25,true,true,false
113,,2023-01-07,79,20,82,Male,33,true,false,true
114,,2023-02-17,90,67,35,Female,37,true,true,true
115,,2023-03-20,53,89,48,Female,31,false,false,true
116,,2023-01-22,70,50,8,Male,35,false,true,true
117,,2023-03-13,54,2,50,Female,28,false,true,false
118,,2023-02-07,93,72,43,Female,35,true,false,false
119,,2023-03-07,52,61,42,Female,37,true,false,true
120,,2023-04-21,87,72,79,Female,35,true,false,true
121,,2023-04-01,87,99,66,Male,23,false,true,true
122,,2023-04-14,89,26,88,Male,25,false,false,true
123,,2023-03-11,52,32,60,Male,36,true,true,false
124,,2023-02-04,72,35,73,Female,32,true,true,false
125,,2023-01-07,82,80,34,Male,32,false,false,false
126,,2023-02-28,59,85,43,Male,31,false,true,false
127,,2023-02-17,66,84,17,Male,28,false,true,true
128,,2023-03-31,49,20,53,Male,22,false,true,false
129,,2023-04-02,87,86,2,Male,28,true,true,true
130,,2023-02-17,57,18,13,Female,24,true,false,true
131,,2023-04-16,63,63,42,Male,22,false,false,false
132,,2023-03-29,81,44,24,Male,31,false,true,true
133,,2023-04-22,83,10,77,Male,30,true,false,false
134,,2023-01-30,99,90,78,Female,18,true,false,true
135,,2023-04-15,47,30,52,Male,23,false,false,true
136,,2023-03-09,64,64,76,Female,30,false,true,true
137,,2023-02-01,48,41,74,Male,33,true,false,false
138,,2023-03-21,76,91,16,Male,32,true,true,false
139,,2023-01-14,82,50,95,Male,27,true,true,true
140,,2023-01-13,96,74,98,Female,30,false,true,false
141,,2023-04-03,76,95,67,Female,24,true,false,true
142,,2023-01-06,68,42,13,Female,21,true,true,true
143,,2023-04-28,82,73,51,Male,20,false,true,false
144,,2023-04-26,97,14,47,Male,23,false,false,true
145,,2023-03-03,89,14,31,Female,30,true,true,false
146,,2023-02-02,49,66,63,Female,36,false,false,true
147,,2023-01-24,87,12,3,Male,19,true,true,false
148,,2023-03-06,67,58,38,Female,40,false,true,true
149,,2023-02-28,53,20,44,Male,40,true,true,true
150,,2023-03-18,65,53,50,Male,21,false,true,true
151,,2023-01-23,68,63,63,Female,21,false,false,true
152,,2023-04-27,91,22,70,Male,21,true,false,false
153,,2023-03-21,73,43,5,Female,23,false,true,false
154,,2023-04-15,61,99,83,Female,25,true,true,true
155,,2023-04-07,69,74,53,Female,18,true,false,false
156,,2023-04-16,87,21,76,Male,27,true,true,true
157,,2023-01-17,87,89,45,Male,25,true,true,true
158,,2023-04-30,89,60,17,Male,31,false,true,true
159,,2023-04-18,58,86,79,Female,28,false,true,false
160,,2023-04-02,84,67,3,Female,31,true,false,true
161,,2023-03-13,78,91,96,Female,37,true,false,false
162,,2023-02-17,56,10,99,Male,21,true,false,false
163,,2023-02-21,88,52,60,Male,39,true,false,true
164,,2023-02-27,47,46,43,Male,27,false,true,false
165,,2023-04-23,82,78,59,Male,20,true,false,true
166,,2023-02-27,84,91,0,Female,24,true,true,true
167,,2023-04-25,65,55,75,Female,29,true,false,false
168,,2023-04-28,63,48,91,Male,25,true,false,true
169,,2023-04-11,91,66,44,Female,29,true,true,false
170,,2023-03-10,49,94,19,Female,23,false,true,false
171,,2023-01-09,66,47,83,Male,35,true,false,true
172,,2023-01-16,53,4,73,Female,25,true,true,true
173,,2023-04-20,57,97,10,Female,22,true,true,false
174,,2023-04-30,74,59,14,Male,36,true,true,false
175,,2023-02-18,56,70,46,Female,40,true,true,false
176,,2023-04-27,72,44,88,Female,21,true,true,true
177,,2023-04-16,98,27,13,Female,40,false,false,true
178,,2023-01-27,60,9,94,Female,40,true,false,false
179,,2023-02-18,73,17,8,Female,29,true,false,true
180,,2023-04-27,64,44,4,Male,39,true,true,true
181,,2023-04-08,81,55,24,Male,25,true,false,false
182,,2023-04-01,72,53,75,Female,19,true,false,true
183,,2023-01-04,54,100,2,Male,25,false,false,false
184,,2023-01-08,70,30,58,Male,21,false,true,false
185,,2023-01-15,74,82,100,Female,38,false,false,false
186,,2023-04-20,63,28,73,Male,31,true,false,false
187,,2023-01-21,100,20,35,Male,27,false,false,false
188,,2023-04-10,50,0,89,Male,40,true,true,true
189,,2023-01-13,96,78,88,Male,21,true,false,false
190,,2023-02-22,56,73,77,Female,32,false,true,true
191,,2023-03-17,94,87,25,Male,39,false,false,true
192,,2023-01-01,83,60,90,Female,28,true,false,false
193,,2023-02-24,99,50,84,Female,33,true,false,true
194,,2023-03-04,51,3,31,Male,31,true,false,true
195,,2023-03-24,86,58,45,Female,29,true,false,true
196,,2023-04-12,76,84,15,Male,27,true,true,false
197,,2023-04-09,50,4,10,Male,21,true,false,true
198,,2023-03-03,50,64,10,Female,37,false,false,true
199,,2023-03-22,88,92,34,Female,23,true,true,true
200,,2023-03-26,68,58,14,Female,26,true,true,false
201,,2023-03-16,49,41,61,Female,18,true,false,false
202,,2023-01-13,72,57,47,Female,20,true,true,false
203,,2023-04-13,74,14,33,Male,30,false,true,true
204,,2023-04-19,82,18,80,Male,33,false,true,true
205,,2023-03-26,78,25,90,Male,21,false,false,false
206,,2023-02-11,75,66,94,Female,26,true,false,true
207,,2023-03-03,69,70,78,Male,20,true,true,true
208,,2023-02-01,63,67,39,Female,37,true,true,false
209,,2023-03-11,96,12,1,Female,39,false,false,false
210,,2023-02-02,80,57,5,Male,40,true,false,false
211,,2023-02-26,54,43,31,Male,40,true,true,true
212,,2023-01-29,65,20,93,Male,33,false,true,false
213,,2023-01-29,59,68,68,Male,19,true,true,true
214,,2023-03-28,55,5,37,Male,21,false,false,false
215,,2023-04-08,79,29,15,Male,20,false,true,false
216,,2023-01-02,57,18,71,Male,21,true,false,false
217,,2023-03-17,87,89,62,Female,30,false,true,true
218,,2023-02-16,50,61,47,Male,22,false,true,false
219,,2023-04-05,53,50,90,Female,33,false,false,false
220,,2023-02-20,56,14,33,Male,36,true,false,true
221,,2023-03-13,57,20,63,Male,38,true,true,false
222,,2023-03-09,86,3,53,Female,18,false,true,true
223,,2023-01-26,78,82,45,Male,21,false,false,true
224,,2023-03-07,90,76,21,Male,31,true,false,true
225,,2023-03-13,80,16,35,Male,23,true,false,false
226,,2023-04-15,90,23,55,Female,29,false,true,true
227,,2023-03-22,79,52,39,Male,29,true,false,true
228,,2023-01-04,50,88,12,Female,27,false,true,true
229,,2023-04-23,56,97,45,Female,22,false,true,false
230,,2023-01-27,55,8,70,Female,21,true,true,false
231,,2023-04-27,71,44,2,Male,18,true,false,false
232,,2023-02-13,61,19,6,Male,38,true,true,true
233,,2023-01-12,45,9,28,Male,25,false,true,true
234,,2023-02-13,79,77,31,Male,37,false,true,true
235,,2023-01-07,47,32,48,Male,40,false,true,false
236,,2023-02-12,87,40,65,Male,34,false,false,true
237,,2023-02-05,68,5,68,Female,34,true,true,false
238,,2023-03-29,100,63,55,Male,36,false,false,true
239,,2023-02-17,58,13,49,Male,25,true,true,false
240,,2023-01-09,91,72,19,Male,24,false,false,true
241,,2023-04-29,85,45,22,Female,38,true,false,false
242,,2023-02-03,76,39,2,Female,34,true,true,true
243,,2023-03-11,91,70,20,Male,30,false,false,false
244,,2023-03-05,98,91,91,Female,34,false,true,false
245,,2023-01-29,89,64,51,Female,34,true,true,true
246,,2023-03-29,80,68,40,Male,18,true,false,false
247,,2023-03-01,48,22,0,Female,34,true,false,true
248,,2023-03-08,77,67,72,Male,21,false,false,true
249,,2023-04-28,84,3,78,Male,35,true,true,true
250,,2023-03-16,59,89,57,Female,33,true,false,false
251,,2023-01-06,59,15,79,Male,25,false,true,true
252,,2023-01-19,98,54,89,Male,30,true,true,false
253,,2023-04-22,60,14,8,Female,30,true,true,false
254,,2023-03-04,77,98,52,Male,32,false,true,true
255,,2023-02-27,59,48,5,Male,28,true,true,false
256,,2023-02-14,89,6,83,Female,19,true,false,false
257,,2023-01-31,72,81,45,Female,39,true,false,false
258,,2023-04-28,81,9,52,Female,33,true,true,false
259,,2023-03-14,90,42,17,Male,37,true,true,false
260,,2023-03-03,92,85,96,Female,38,false,true,false
261,,2023-04-23,99,40,40,Male,37,true,true,false
262,,2023-02-13,93,57,19,Female,36,false,true,true
263,,2023-03-12,57,16,18,Male,37,true,true,false
264,,2023-01-17,68,99,84,Male,31,false,true,false
265,,2023-04-05,83,33,82,Female,18,false,false,true
266,,2023-01-21,64,81,19,Male,28,true,true,true
267,,2023-04-27,95,57,44,Female,35,false,true,true
268,,2023-02-10,97,98,80,Male,35,true,false,false
269,,2023-02-02,80,86,55,Female,30,false,true,false
270,,2023-01-02,69,44,65,Female,24,true,false,true
271,,2023-03-20,91,16,17,Female,38,false,true,true
272,,2023-02-12,96,51,84,Male,31,false,true,false
273,,2023-02-20,55,92,85,Male,21,true,false,false
274,,2023-01-01,55,50,28,Female,20,false,false,true
275,,2023-04-04,76,5,81,Male,19,false,false,false
276,,2023-01-17,84,15,70,Female,23,true,false,false
277,,2023-01-16,68,80,10,Female,19,false,false,false
278,,2023-02-02,95,26,81,Male,26,true,false,true
279,,2023-01-02,72,14,6,Male,38,false,false,true
280,,2023-02-27,50,95,76,Male,20,false,true,false
281,,2023-01-31,62,40,29,Male,33,true,true,true
282,,2023-03-11,96,95,49,Male,25,true,true,false
283,,2023-02-13,71,64,19,Female,35,true,true,true
284,,2023-04-28,48,21,81,Male,23,false,true,false
285,,2023-01-29,80,50,37,Male,37,true,true,true
286,,2023-01-20,76,25,17,Male,19,true,true,true
287,,2023-04-24,55,11,41,Female,32,true,true,false
288,,2023-01-03,71,39,71,Female,18,false,true,false
289,,2023-04-18,45,56,0,Female,22,false,false,true
290,,2023-02-16,51,35,72,Male,29,true,false,true
291,,2023-01-16,51,55,36,Male,33,false,false,true
292,,2023-02-10,98,96,85,Female,22,true,true,false
293,,2023-03-07,77,8,53,Male,24,true,true,false
294,,2023-02-06,89,4,36,Male,40,false,true,true
295,,2023-04-14,53,40,59,Male,18,true,false,true
296,,2023-01-20,99,87,0,Male,28,false,false,true
297,,2023-04-09,73,89,64,Female,40,false,true,true
298,,2023-03-16,64,57,89,Male,26,true,false,false
299,,2023-02-07,88,58,76,Male,39,false,false,false
300,,2023-01-16,49,14,13,Male,30,false,false,true
301,,2023-04-19,55,42,51,Male,32,true,true,false
302,,2023-03-16,87,45,10,Male,21,false,true,false
303,,2023-04-03,62,57,22,Male,33,false,false,false
304,,2023-03-20,46,4,21,Male,18,true,false,false
305,,2023-03-08,91,20,72,Male,25,false,true,true
306,,2023-03-04,82,7,45,Female,40,false,true,false
307,,2023-04-11,93,19,55,Male,37,false,true,true
308,,2023-03-28,82,84,19,Male,25,false,true,true
309,,2023-01-05,99,35,89,Female,27,true,false,false
310,,2023-01-31,63,25,70,Male,32,true,true,true
311,,2023-04-10,84,17,98,Male,37,false,false,true
312,,2023-03-25,76,25,75,Female,31,false,true,false
313,,2023-03-28,45,19,81,Female,29,true,false,false
314,,2023-01-01,68,9,4,Female,27,true,false,true
315,,2023-04-27,86,58,82,Male,36,true,true,true
316,,2023-04-14,53,15,71,Male,23,true,true,true
317,,2023-02-02,96,37,44,Male,27,true,true,false
318,,2023-03-09,87,26,0,Male,34,false,true,true
319,,2023-03-01,47,6,4,Female,29,true,false,true
320,,2023-03-06,55,44,47,Male,21,false,false,false
321,,2023-03-12,93,68,45,Female,22,true,true,true
322,,2023-02-04,76,7,75,Male,32,false,true,true
323,,2023-04-07,100,91,18,Female,26,false,true,true
324,,2023-03-14,62,59,23,Male,30,false,false,true
325,,2023-04-02,45,78,52,Female,21,false,true,false
326,,2023-03-05,82,87,55,Male,28,true,false,true
327,,2023-02-22,73,30,22,Female,21,false,false,false
328,,2023-01-26,79,57,48,Male,37,true,false,true
329,,2023-04-23,48,17,100,Male,27,true,true,true
330,,2023-01-13,99,48,70,Female,34,false,true,false
331,,2023-04-19,82,92,28,Female,30,false,false,false
332,,2023-03-03,85,40,6,Female,21,true,false,false
333,,2023-01-10,49,78,82,Male,33,false,false,false
334,,2023-02-09,69,22,18,Female,25,true,true,true
335,,2023-02-11,54,4,41,Male,20,false,true,true
336,,2023-03-12,96,18,1,Female,37,true,true,true
337,,2023-03-31,95,58,89,Male,22,true,true,false
338,,2023-04-29,54,26,33,Male,39,true,true,false
339,,2023-01-03,69,51,55,Male,28,true,false,true
340,,2023-01-26,82,91,84,Male,26,true,false,true
341,,2023-02-14,90,2,42,Male,34,false,false,true
342,,2023-04-23,68,57,58,Female,26,false,false,false
343,,2023-04-03,73,80,35,Female,20,false,true,false
344,,2023-03-16,81,71,32,Female,34,true,true,false
345,,2023-02-08,87,87,6,Female,26,false,false,false
346,,2023-03-26,86,44,57,Female,18,false,false,true
347,,2023-02-22,77,51,57,Female,34,true,true,false
348,,2023-03-18,78,83,82,Male,21,true,false,false
349,,2023-01-11,63,72,51,Female,38,false,false,false
350,,2023-02-26,96,64,77,Female,22,false,false,true
351,,2023-03-21,84,35,65,Male,33,true,false,true
352,,2023-04-16,88,7,35,Female,38,true,false,true
353,,2023-04-30,48,87,5,Female,34,true,true,false
354,,2023-02-09,62,61,23,Female,24,true,false,true
355,,2023-01-08,92,83,58,Female,29,true,false,true
356,,2023-03-11,49,65,91,Male,28,true,true,false
357,,2023-03-09,85,19,19,Female,24,false,false,false
358,,2023-04-06,67,100,78,Female,32,false,false,false
359,,2023-01-29,95,69,56,Male,29,true,true,true
360,,2023-03-28,64,83,9,Male,29,true,true,false
361,,2023-04-20,63,47,42,Female,25,false,true,true
362,,2023-04-27,66,42,89,Female,28,false,false,true
363,,2023-03-06,86,5,96,Male,30,true,true,false
364,,2023-03-02,62,81,48,Male,21,true,true,false
365,,2023-02-09,60,28,93,Male,29,false,false,false
366,,2023-01-27,56,21,49,Female,39,false,true,false
367,,2023-01-21,86,9,88,Female,18,false,false,true
368,,2023-04-04,63,30,21,Female,29,true,false,false
369,,2023-03-22,73,51,91,Female,28,true,true,true
370,,2023-01-20,64,56,38,Male,30,false,true,true
371,,2023-04-29,56,69,93,Female,18,true,false,false
372,,2023-01-23,55,11,7,Female,21,true,false,false
373,,2023-02-19,67,23,87,Male,28,true,true,true
374,,2023-01-15,96,85,27,Male,32,true,false,true
375,,2023-03-20,89,78,90,Female,20,false,false,true
376,,2023-04-14,58,38,68,Female,32,false,false,false
377,,2023-03-28,79,67,18,Female,39,false,true,true
378,,2023-04-12,95,9,22,Female,19,false,false,false
379,,2023-03-08,91,4,40,Male,19,true,false,false
380,,2023-01-07,64,62,89,Male,30,false,true,false
381,,2023-04-22,55,45,77,Male,29,false,false,true
382,,2023-04-27,82,22,28,Male,40,false,false,true
383,,2023-04-28,48,8,96,Female,22,true,true,true
384,,2023-03-05,84,64,81,Female,30,true,false,true
385,,2023-04-12,79,28,30,Female,33,false,true,false
386,,2023-03-31,96,29,53,Female,37,false,false,false
387,,2023-02-08,82,91,91,Male,35,true,true,false
388,,2023-03-28,97,16,45,Male,37,false,true,false
389,,2023-03-09,91,81,83,Female,29,true,false,false
390,,2023-03-03,87,65,59,Female,32,false,true,false
391,,2023-02-28,96,31,56,Male,40,true,true,true
392,,2023-01-18,66,35,19,Female,20,false,true,false
393,,2023-04-22,60,21,55,Male,38,true,true,false
394,,2023-02-04,75,45,28,Female,36,false,true,false
395,,2023-03-17,64,20,95,Male,26,false,true,true
396,,2023-03-15,59,41,47,Female,33,true,true,false
397,,2023-02-04,86,73,48,Male,37,false,true,true
398,,2023-01-26,69,4,27,Female,28,false,true,true
399,,2023-04-19,77,78,50,Female,30,false,false,false
400,,2023-04-02,57,77,98,Male,37,true,false,true
401,,2023-02-18,57,8,65,Male,32,true,true,false
402,,2023-03-11,61,88,85,Female,39,true,false,false
403,,2023-04-12,77,93,80,Female,21,true,true,false
404,,2023-03-14,76,53,37,Male,39,false,false,true
405,,2023-02-25,69,94,56,Male,37,false,false,true
406,,2023-04-30,53,32,52,Female,28,false,true,false
407,,2023-03-08,83,42,60,Male,20,false,true,true
408,,2023-02-28,66,94,6,Male,37,false,false,false
409,,2023-04-01,48,51,68,Female,20,true,true,true
410,,2023-01-13,90,54,94,Female,33,true,false,true
411,,2023-04-17,94,71,42,Female,19,true,false,true
412,,2023-03-20,52,52,12,Female,37,false,true,false
413,,2023-02-14,86,70,48,Male,34,true,false,false
414,,2023-02-19,95,1,37,Female,24,true,true,false
415,,2023-02-01,79,79,13,Male,36,false,true,false
416,,2023-03-18,68,27,81,Female,30,true,true,true
417,,2023-01-12,93,52,56,Male,39,true,false,false
418,,2023-03-21,66,67,47,Male,19,false,false,true
419,,2023-02-21,76,98,68,Female,33,false,true,true
420,,2023-01-13,68,58,41,Male,22,true,true,false
421,,2023-01-25,48,24,89,Male,18,false,true,false
422,,2023-04-01,67,32,89,Female,21,true,true,true
423,,2023-04-22,62,47,64,Male,19,false,true,false
424,,2023-03-31,58,82,27,Male,20,false,false,false
425,,2023-02-14,86,56,72,Male,25,false,true,true
426,,2023-02-04,94,84,85,Male,20,true,false,true
427,,2023-04-21,100,14,18,Male,33,true,false,false
428,,2023-04-30,79,13,25,Male,32,false,false,false
429,,2023-01-11,82,50,27,Female,31,true,true,true
430,,2023-03-07,97,67,78,Female,35,false,false,true
431,,2023-01-19,99,33,14,Female,39,false,true,true
432,,2023-01-20,91,37,15,Female,37,false,false,false
433,,2023-04-09,79,5,80,Male,32,true,true,true
434,,2023-01-25,46,90,18,Male,35,false,true,true
435,,2023-04-11,63,91,51,Female,39,true,false,true
436,,2023-03-05,77,62,64,Male,35,true,true,true
437,,2023-01-28,45,87,92,Female,23,true,true,true
438,,2023-03-03,53,79,18,Female,24,true,false,true
439,,2023-04-03,84,35,54,Male,18,false,true,false
440,,2023-02-13,49,27,10,Male,32,false,true,true
441,,2023-01-14,82,11,97,Female,36,true,false,true
442,,2023-03-05,58,80,47,Female,30,false,false,false
443,,2023-01-15,59,20,69,Female,33,true,false,true
444,,2023-01-23,94,80,25,Male,25,false,false,false
445,,2023-03-26,92,52,95,Male,34,true,false,false
446,,2023-03-26,76,96,95,Male,34,true,false,true
447,,2023-01-11,70,56,54,Female,37,false,true,false
448,,2023-02-28,69,78,19,Male,29,true,true,true
449,,2023-04-24,96,31,61,Male,29,true,false,true
450,,2023-02-23,46,48,97,Female,26,true,false,true
451,,2023-02-04,77,7,93,Male,23,false,false,false
452,,2023-02-22,74,50,78,Female,30,true,false,false
453,,2023-01-19,68,57,47,Female,18,false,false,false
454,,2023-03-08,89,69,3,Female,25,true,false,true
455,,2023-02-13,67,3,94,Female,31,false,false,true
456,,2023-01-15,52,7,38,Female,25,false,false,false
457,,2023-03-30,63,83,47,Male,21,true,true,false
458,,2023-04-11,55,77,67,Male,25,true,true,true
459,,2023-04-20,69,18,12,Male,21,false,false,false
460,,2023-02-17,85,35,7,Male,19,true,true,true
461,,2023-03-25,88,58,9,Male,23,false,false,true
462,,2023-04-13,64,63,51,Male,32,false,false,true
463,,2023-04-21,70,76,14,Female,38,true,true,true
464,,2023-01-10,83,96,97,Male,19,false,false,true
465,,2023-01-27,64,29,75,Female,30,false,false,false
466,,2023-01-19,47,8,95,Male,38,false,false,false
467,,2023-03-15,74,39,60,Female,32,false,false,false
468,,2023-04-15,68,98,66,Female,40,true,true,false
469,,2023-01-19,88,79,3,Female,20,false,false,false
470,,2023-03-07,48,80,44,Female,36,false,true,false
471,,2023-03-07,87,22,81,Female,32,true,false,true
472,,2023-03-04,69,31,16,Male,34,true,true,false
473,,2023-04-26,77,66,5,Male,32,false,false,true
474,,2023-01-08,82,0,94,Male,20,false,true,true
475,,2023-02-18,69,10,36,Male,34,true,false,true
476,,2023-01-04,77,78,79,Male,27,true,true,true
477,,2023-01-20,55,69,34,Female,39,true,false,false
478,,2023-01-18,51,69,71,Female,30,false,false,true
479,,2023-04-25,92,70,76,Male,28,true,true,true
480,,2023-04-14,64,45,86,Male,29,true,false,false
481,,2023-04-26,53,100,48,Male,26,false,true,true
482,,2023-04-03,55,11,81,Male,39,true,true,false
483,,2023-02-22,96,29,75,Male,23,false,false,true
484,,2023-04-18,67,93,34,Female,37,true,false,true
485,,2023-01-11,46,59,10,Male,24,false,false,false
486,,2023-04-18,46,21,23,Female,31,true,true,true
487,,2023-03-18,51,26,15,Female,19,false,false,false
488,,2023-04-21,58,51,38,Male,23,false,true,false
489,,2023-01-26,70,33,69,Male,21,false,true,false
490,,2023-04-23,82,38,94,Male,29,true,true,true
491,,2023-03-07,63,51,36,Female,30,true,true,false
492,,2023-03-09,47,66,16,Male,32,true,false,false
493,,2023-04-05,75,11,37,Male,35,true,false,false
494,,2023-01-28,63,31,84,Female,39,false,true,true
495,,2023-02-04,63,92,88,Female,20,false,true,true
496,,2023-04-26,59,63,98,Female,39,false,false,true
497,,2023-02-17,58,57,93,Female,23,true,false,false
498,,2023-02-07,85,62,40,Female,18,false,true,false
499,,2023-03-06,54,35,99,Female,32,false,false,true
500,,2023-04-27,92,8,74,Female,36,false,false,false
501,,2023-04-02,100,40,67,Male,29,true,false,false
502,,2023-03-25,96,51,91,Female,33,true,true,false
503,,2023-04-23,47,99,21,Female,18,true,false,true
504,,2023-01-05,71,1,66,Female,30,false,false,true
505,,2023-04-28,89,76,93,Female,27,false,true,false
506,,2023-04-21,60,84,98,Female,38,false,true,false
507,,2023-03-30,89,52,0,Female,27,true,true,true
508,,2023-04-13,56,75,11,Male,33,true,true,true
509,,2023-02-19,72,85,3,Male,28,false,true,true
510,,2023-03-15,88,75,57,Female,23,false,false,false
511,,2023-04-03,71,52,9,Male,24,true,true,false
512,,2023-01-20,92,40,92,Female,22,true,true,true
513,,2023-01-23,60,82,14,Female,32,true,false,false
